Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v2.x,
C1,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100n,
C2,CP_Radial_D10.0mm_P5.00mm,1,47u,
"D1, D2",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N4007,
J1,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J2, J3, J4, J7",PinSocket_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
J5,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J6,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
"Q1, Q2, Q3, Q5, Q7",TO-92_Inline,5,BC547,
"Q4, Q6",TO-92_Inline,2,BC557,
"R1, R2, R3, R4, R5, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,7,1k,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,56k,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100k,
